jour,prix,score
0,7.78000020980835,-0.1111111111111111
1,7.699999809265137,-0.1111111111111111
2,7.357999801635742,-0.1111111111111111
3,7.394000053405762,-0.1111111111111111
4,7.607999801635742,-0.1111111111111111
5,8.013999938964844,-0.1111111111111111
6,8.0,-0.1111111111111111
7,8.093999862670898,-0.1111111111111111
8,7.604000091552734,-0.1111111111111111
9,7.27400016784668,-0.1111111111111111
10,7.23199987411499,-0.1111111111111111
11,7.434000015258789,-0.1111111111111111
12,8.0,-0.1111111111111111
13,8.199999809265137,-0.1111111111111111
14,8.527999877929688,-0.1111111111111111
15,8.505999565124512,-0.1111111111111111
16,8.805999755859375,-0.1111111111111111
17,11.5600004196167,-0.1111111111111111
18,9.890000343322754,-0.1111111111111111
19,9.489999771118164,-0.1111111111111111
20,9.13599967956543,-0.1111111111111111
21,7.5920000076293945,-0.1111111111111111
22,7.443999767303467,-0.1111111111111111
23,7.432000160217285,-0.1111111111111111
24,7.659999847412109,-0.1111111111111111
25,8.107999801635742,-0.1111111111111111
