jour,prix,score
0,334.70001220703125,-0.1111111111111111
1,327.20001220703125,-0.1111111111111111
2,329.04998779296875,-0.1111111111111111
3,328.6499938964844,-0.1111111111111111
4,343.6000061035156,-0.1111111111111111
5,343.3500061035156,-0.1111111111111111
6,336.95001220703125,-0.1111111111111111
7,344.5,-0.1111111111111111
8,332.0,-0.1111111111111111
9,327.3999938964844,-0.1111111111111111
10,343.45001220703125,-0.1111111111111111
11,358.45001220703125,-0.1111111111111111
12,358.5,-0.1111111111111111
13,340.6000061035156,-0.1111111111111111
14,343.3500061035156,-0.1111111111111111
15,346.1000061035156,-0.1111111111111111
16,353.0,-0.1111111111111111
17,359.54998779296875,-0.1111111111111111
18,366.8999938964844,-0.1111111111111111
19,352.75,-0.1111111111111111
20,345.1000061035156,-0.1111111111111111
21,349.70001220703125,-0.1111111111111111
22,347.6000061035156,-0.1111111111111111
23,341.8500061035156,-0.1111111111111111
24,374.20001220703125,-0.1111111111111111
25,393.29998779296875,-0.1111111111111111
